商品id,时间,总销量,浏览量,抖音转化率,视频个数,直播个数,直播销量,视频销量,视频达人,直播达人
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-08 16:00:00,668,0,0.0,0,98,668,0,0,76
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-09 16:00:00,1148,0,0.0,0,94,1148,0,0,74
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-10 16:00:00,681,0,0.0,0,93,681,0,0,75
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-11 16:00:00,163,0,0.0,0,104,163,0,0,79
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-12 16:00:00,875,0,0.0,0,109,875,0,0,85
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-13 16:00:00,553,0,0.0,0,88,553,0,0,67
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-14 16:00:00,254,0,0.0,1,88,248,6,0,65
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-15 16:00:00,1077,0,0.0,1,87,1077,0,0,66
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-16 16:00:00,771,0,0.0,0,85,771,0,0,63
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-17 16:00:00,5475,0,0.0,3,68,5475,0,0,54
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-18 16:00:00,339,0,0.0,2,75,271,68,0,56
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-19 16:00:00,2240,0,0.0,2,84,2240,0,0,67
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-20 16:00:00,836,0,0.0,0,81,667,169,0,51
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-21 16:00:00,934,0,0.0,0,89,934,0,0,66
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-22 16:00:00,518,0,0.0,0,77,450,68,0,59
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-23 16:00:00,206,0,0.0,1,84,206,0,0,60
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-24 16:00:00,273,0,0.0,0,70,250,23,0,50
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-25 16:00:00,467,0,0.0,1,81,462,5,0,60
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-26 16:00:00,536,0,0.0,1,101,536,0,0,68
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-27 16:00:00,393,0,0.0,5,94,369,24,0,68
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-28 16:00:00,418,0,0.0,1,74,410,8,0,59
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-29 16:00:00,3615,0,0.0,4,76,3615,0,0,65
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-30 16:00:00,1924,0,0.0,4,88,1837,87,0,66
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-07-31 16:00:00,159,0,0.0,1,69,159,0,0,55
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-08-01 16:00:00,2313,0,0.0,0,70,2313,0,0,57
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-08-02 16:00:00,597,0,0.0,0,72,597,0,0,54
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-08-03 16:00:00,1068,0,0.0,3,79,1068,0,0,62
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-08-04 16:00:00,6198,0,0.0,4,57,6198,0,0,51
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-08-05 16:00:00,258,0,0.0,2,72,258,0,0,59
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-08-06 16:00:00,2397,0,0.0,5,78,2397,0,0,62
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-08-07 16:00:00,1355,0,0.0,5,66,1355,0,0,54
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-08-08 16:00:00,1207,0,0.0,1,74,1207,0,0,60
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-08-09 16:00:00,1522,0,0.0,2,76,1522,0,0,67
【年货专享】豆乳威化饼干128g袋装网红威化休闲零食夹心茶点|A2|,2021-08-10 16:00:00,1752,0,0.0,2,80,1752,0,0,59
