商品id,时间,总销量,浏览量,抖音转化率,视频个数,直播个数,直播销量,视频销量,视频达人,直播达人
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-08 16:00:00,178,0,0.0,8,782,178,0,0,519
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-09 16:00:00,152,0,0.0,6,709,152,0,0,475
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-10 16:00:00,268,0,0.0,7,638,268,0,0,436
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-11 16:00:00,894,0,0.0,14,668,894,0,0,464
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-12 16:00:00,1574,0,0.0,21,691,513,1061,0,475
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-13 16:00:00,1530,0,0.0,9,650,576,954,0,464
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-14 16:00:00,1036,0,0.0,7,691,455,581,0,462
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-15 16:00:00,928,0,0.0,16,667,302,626,0,456
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-16 16:00:00,1783,0,0.0,15,639,676,1107,0,440
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-17 16:00:00,2511,0,0.0,11,545,865,1646,0,388
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-18 16:00:00,605,0,0.0,15,664,222,383,0,465
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-19 16:00:00,536,0,0.0,10,680,264,272,0,466
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-20 16:00:00,691,0,0.0,11,685,400,291,0,459
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-21 16:00:00,778,0,0.0,17,722,443,335,0,474
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-22 16:00:00,655,0,0.0,14,666,275,380,0,455
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-23 16:00:00,787,0,0.0,13,652,519,268,0,457
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-24 16:00:00,2983,0,0.0,13,616,2500,483,0,421
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-25 16:00:00,1534,0,0.0,10,686,907,627,0,470
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-26 16:00:00,1752,0,0.0,14,740,1022,730,0,504
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-27 16:00:00,1441,0,0.0,6,746,673,768,0,506
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-28 16:00:00,641,0,0.0,19,716,255,386,0,517
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-29 16:00:00,1924,0,0.0,11,552,1924,0,0,466
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-30 16:00:00,1221,0,0.0,8,723,1221,0,0,488
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-07-31 16:00:00,449,0,0.0,10,721,449,0,0,481
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-01 16:00:00,265,0,0.0,14,805,265,0,0,534
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-02 16:00:00,516,0,0.0,18,855,516,0,0,574
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-03 16:00:00,252,0,0.0,14,947,252,0,0,610
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-04 16:00:00,289,0,0.0,10,750,289,0,0,506
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-05 16:00:00,271,0,0.0,14,945,271,0,0,597
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-06 16:00:00,313,0,0.0,8,883,313,0,0,558
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-07 16:00:00,269,0,0.0,10,803,269,0,0,489
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-08 16:00:00,470,0,0.0,22,882,470,0,0,578
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-09 16:00:00,696,0,0.0,13,842,315,381,0,588
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-10 16:00:00,705,0,0.0,12,896,280,425,0,589
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-11 16:00:00,1498,0,0.0,14,930,570,928,0,593
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-12 16:00:00,989,0,0.0,15,940,403,586,0,581
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-13 16:00:00,901,0,0.0,8,898,239,662,0,576
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-14 16:00:00,971,0,0.0,9,832,386,585,0,542
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-15 16:00:00,1253,0,0.0,10,919,398,855,0,568
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-16 16:00:00,2465,0,0.0,16,941,373,2092,0,594
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-17 16:00:00,1435,0,0.0,16,974,425,1010,0,612
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,2021-08-18 16:00:00,1135,0,0.0,12,886,461,674,0,588
