商品id,时间,总销量,浏览量,抖音转化率,视频个数,直播个数,直播销量,视频销量,视频达人,直播达人
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-08 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-09 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-10 16:00:00,1,2,0.5,0,0,0,1,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-11 16:00:00,0,11,0.0,0,1,0,0,0,1
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-12 16:00:00,0,9,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-13 16:00:00,0,5,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-14 16:00:00,0,5,0.0,0,0,0,0,1,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-15 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-16 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-17 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-18 16:00:00,1,0,0.0,0,1,1,0,0,1
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-19 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-20 16:00:00,0,0,0.0,0,1,0,0,0,1
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-21 16:00:00,0,0,0.0,0,2,0,0,0,1
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-22 16:00:00,2,0,0.0,0,1,0,2,0,1
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-23 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-24 16:00:00,0,0,0.0,0,1,0,0,0,1
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-25 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-26 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-27 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-28 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-29 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-30 16:00:00,1,0,0.0,0,1,1,0,0,1
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-07-31 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-01 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-02 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-03 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-04 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-05 16:00:00,0,0,0.0,1,1,0,0,0,1
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-06 16:00:00,0,0,0.0,0,1,0,0,0,1
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-07 16:00:00,0,0,0.0,1,3,0,0,0,1
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-08 16:00:00,0,0,0.0,0,0,0,0,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-09 16:00:00,5,0,0.0,0,0,0,5,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-10 16:00:00,16,0,0.0,0,0,0,16,0,0
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-11 16:00:00,10,0,0.0,0,1,0,10,0,1
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-12 16:00:00,33,0,0.0,0,3,22,11,0,2
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-13 16:00:00,27,156,0.17307692307692307,1,3,17,10,1,2
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-14 16:00:00,8,0,0.0,0,1,0,8,0,1
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-15 16:00:00,15,0,0.0,0,2,5,10,0,1
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-16 16:00:00,7,0,0.0,2,2,3,4,0,1
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-17 16:00:00,37,0,0.0,1,4,26,11,0,3
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-18 16:00:00,25,0,0.0,0,4,10,15,0,3
奔怡 传统怀旧 老面包500g-2000g营养早餐代餐食品正宗儿时老面包,2021-08-19 16:00:00,21,0,0.0,0,6,14,7,0,3
