商品id,时间,总销量,浏览量,抖音转化率,视频个数,直播个数,直播销量,视频销量,视频达人,直播达人
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-08 16:00:00,327,3208,0.10193266832917704,1,85,197,130,14,62
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-09 16:00:00,312,2957,0.10551234359147783,0,66,174,138,15,51
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-10 16:00:00,776,0,0.0,0,59,776,0,0,48
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-11 16:00:00,217,2360,0.09194915254237288,0,64,207,10,16,49
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-12 16:00:00,204,2263,0.0901458241272647,0,66,192,12,12,51
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-13 16:00:00,400,3987,0.10032605969400553,0,70,394,6,11,48
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-14 16:00:00,395,3781,0.10446971700608304,0,77,281,114,9,58
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-15 16:00:00,186,0,0.0,0,79,182,4,0,55
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-16 16:00:00,454,0,0.0,0,86,420,34,0,57
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-17 16:00:00,270,0,0.0,1,65,270,0,0,51
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-18 16:00:00,359,0,0.0,2,82,359,0,0,55
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-19 16:00:00,279,0,0.0,0,82,245,34,0,59
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-20 16:00:00,234,0,0.0,0,75,228,6,0,58
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-21 16:00:00,111,0,0.0,0,89,109,2,0,56
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-22 16:00:00,172,0,0.0,1,74,126,46,0,50
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-23 16:00:00,215,0,0.0,0,64,177,38,0,48
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-24 16:00:00,275,0,0.0,1,49,271,4,0,39
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-25 16:00:00,214,0,0.0,0,75,198,16,0,57
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-26 16:00:00,990,0,0.0,1,73,990,0,0,56
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,2021-07-27 16:00:00,281,0,0.0,0,78,240,41,0,58
