商品id,时间,总销量,浏览量,抖音转化率,视频个数,直播个数,直播销量,视频销量,视频达人,直播达人
蜀中桃子姐钵钵鸡调料包320克底料包冷锅串串香,2021-07-08 16:00:00,0,0,0.0,0,0,0,0,0,0
蜀中桃子姐钵钵鸡调料包320克底料包冷锅串串香,2021-07-09 16:00:00,0,0,0.0,0,0,0,0,0,0
蜀中桃子姐钵钵鸡调料包320克底料包冷锅串串香,2021-07-10 16:00:00,0,0,0.0,0,0,0,0,0,0
蜀中桃子姐钵钵鸡调料包320克底料包冷锅串串香,2021-07-11 16:00:00,0,0,0.0,0,0,0,0,0,0
蜀中桃子姐钵钵鸡调料包320克底料包冷锅串串香,2021-07-12 16:00:00,0,0,0.0,0,0,0,0,0,0
蜀中桃子姐钵钵鸡调料包320克底料包冷锅串串香,2021-07-13 16:00:00,0,0,0.0,0,0,0,0,0,0
蜀中桃子姐钵钵鸡调料包320克底料包冷锅串串香,2021-07-14 16:00:00,0,0,0.0,0,0,0,0,0,0
蜀中桃子姐钵钵鸡调料包320克底料包冷锅串串香,2021-07-15 16:00:00,4374,0,0.0,0,1,4374,0,0,1
蜀中桃子姐钵钵鸡调料包320克底料包冷锅串串香,2021-07-16 16:00:00,14052,0,0.0,0,1,14052,0,0,1
蜀中桃子姐钵钵鸡调料包320克底料包冷锅串串香,2021-07-17 16:00:00,5704,0,0.0,0,1,5704,0,0,1
蜀中桃子姐钵钵鸡调料包320克底料包冷锅串串香,2021-07-18 16:00:00,359,0,0.0,0,1,359,0,0,1
蜀中桃子姐钵钵鸡调料包320克底料包冷锅串串香,2021-07-19 16:00:00,1772,0,0.0,0,1,1772,0,0,1
蜀中桃子姐钵钵鸡调料包320克底料包冷锅串串香,2021-07-20 16:00:00,573,0,0.0,0,1,573,0,0,1
蜀中桃子姐钵钵鸡调料包320克底料包冷锅串串香,2021-07-21 16:00:00,4507,0,0.0,0,1,4507,0,0,1
