session_id,rank,pm
0,1,50.94295855760646
0,2,50.64557788944933
0,3,50.349181824325505
0,4,50.05408240093766
0,5,49.76067068197932
0,6,49.469503872746955
0,7,49.18120482830318
0,8,48.896853406835326
0,9,48.617225302299964
0,10,48.344898385571646
0,11,48.07945210458053
0,12,47.82959572967282
1,1,1.652971585088665
1,2,2.254675983537435
1,3,3.075409061231877
1,4,4.194900270799864
1,5,5.7219016825384825
1,6,7.8047526165369305
1,7,10.645789946239676
1,8,14.521003950762633
1,9,19.806849167876376
1,10,27.016814766337223
1,11,36.851307036879675
1,12,50.265689796210175
2,1,53.820126129259016
2,2,53.84267366348323
2,3,53.86522106202666
2,4,53.887740861435084
2,5,53.910329033094605
2,6,53.93288647443419
2,7,53.95517994457074
2,8,53.978273441564696
2,9,54.00071468923417
2,10,54.020785103587116
2,11,54.04990830920797
2,12,54.06859273360736
3,1,51.84174869012301
3,2,51.841944049830644
3,3,51.84213941027446
3,4,51.842334771454475
3,5,51.84253013337069
3,6,51.8427254960231
3,7,51.84292085941171
3,8,51.84311622353653
3,9,51.843311588397555
3,10,51.84350695399479
3,11,51.84370232032824
3,12,51.843897687397906
4,1,18.95764696533093
4,2,19.886497692759935
4,3,21.34495931886154
4,4,22.31262071021144
4,5,24.045521579966636
4,6,25.019145668548628
4,7,27.10656217783738
4,8,28.030672956631577
4,9,30.58528386412679
4,10,31.369831790975166
4,11,34.55212727421125
4,12,35.05456088585102
5,1,30.546012096899208
5,2,30.56036026739962
5,3,30.57379734887888
5,4,30.586946960076855
5,5,30.601325398759617
5,6,30.616053396780316
5,7,30.628107333055613
5,8,30.641860859770123
5,9,30.657062548200965
5,10,30.6722013785416
5,11,30.680145892544004
5,12,30.699379054257538
6,1,28.374465405267518
6,2,28.37478525964541
6,3,28.375105117628898
6,4,28.37542497921802
6,5,28.375744844412818
6,6,28.37606471321333
6,7,28.376384585619604
6,8,28.376704461631675
6,9,28.377024341249584
6,10,28.377344224473372
6,11,28.37766411130308
6,12,28.37798400173875
7,1,40.841965177901564
7,2,40.73774401059221
7,3,40.633522843282854
7,4,40.5293016759735
7,5,40.425080508664145
7,6,40.32085934135479
7,7,40.216638174045436
7,8,40.11241700673608
7,9,40.008195839426726
7,10,39.90397467211737
7,11,39.79975350480802
7,12,39.69553233749866
8,1,5.728817755287869
8,2,6.824642560126155
8,3,8.130079898334081
8,4,9.685225060647582
8,5,11.537842880808228
8,6,13.744834787898691
8,7,16.373986480685733
8,8,19.50604990215873
8,9,23.23722346017059
8,10,27.682106671845652
8,11,32.97721998090283
8,12,39.285197855801414
9,1,47.67889823149464
9,2,47.67687260042333
9,3,47.67484696935202
9,4,47.672821338280706
9,5,47.67079570720939
9,6,47.66877007613808
9,7,47.66674444506677
9,8,47.66471881399546
9,9,47.662693182924144
9,10,47.66066755185283
9,11,47.65864192078152
9,12,47.65661628971021
10,1,34.1938614075488
10,2,34.19973810001073
10,3,34.20560640000632
10,4,34.21142366553144
10,5,34.21738903557827
10,6,34.22323517934876
10,7,34.22873641191472
10,8,34.235496099672204
10,9,34.24087716526529
10,10,34.24414068561454
10,11,34.25779431363385
10,12,34.25705784409885
11,1,32.624474061956896
11,2,32.627817038574825
11,3,32.631160015192755
11,4,32.634502991810685
11,5,32.637845968428614
11,6,32.641188945046544
11,7,32.64453192166447
11,8,32.6478748982824
11,9,32.65121787490033
11,10,32.65456085151826
11,11,32.65790382813619
11,12,32.66124680475412
12,1,31.456550866833016
12,2,31.326644681998914
12,3,31.196738497164812
12,4,31.06683231233071
12,5,30.93692612749661
12,6,30.807019942662507
12,7,30.677113757828405
12,8,30.547207572994303
12,9,30.4173013881602
12,10,30.2873952033261
12,11,30.157489018491997
12,12,30.027582833657895
13,1,87.029024725043
13,2,87.01001036185961
13,3,86.99085404452164
13,4,86.97155471325223
13,5,86.95211130036263
13,6,86.93252273019311
13,7,86.9127879190535
13,8,86.89290577516314
13,9,86.8728751985906
13,10,86.85269508119276
13,11,86.82898153994755
13,12,86.8030109922499
14,1,59.167155526422576
14,2,59.12096644849338
14,3,59.074828642375856
14,4,59.02862243951181
14,5,58.982348174328436
14,6,58.936425580482364
14,7,58.89016612725566
14,8,58.84322322981363
14,9,58.79858260637464
14,10,58.75257206363457
14,11,58.70071921290809
14,12,58.66324494842884
15,1,47.56078836520162
15,2,47.56527726837301
15,3,47.569766595218034
15,4,47.57425634577667
15,5,47.578746520088906
15,6,47.583237118194745
15,7,47.58772814013418
